Percentages,TrueF1,ScrambledF1
0.0,0.9874051432483811,0.9874051432483811
0.1,0.9879910052071237,0.8890810236455069
0.2,0.9856802733461687,0.7887351258221956
0.3,0.9862880362192956,0.6906816342984253
0.4,0.9850043006245218,0.5918821441084169
0.5,0.9803845907380524,0.48995874522531696
0.6,0.9744839318455785,0.39006522714715175
0.7,0.9632752726088151,0.2912304635634225
0.8,0.9227028642770713,0.1911683687930337
0.9,0.18210485989125172,0.07246551563859678
1.0,0.0008127349484625498,0.1057909889567515
